Rank,Name,Country,Age,NetWorth,Source of Wealth
477,Friede Springer,Germany,73,3.4,Publishing
477,Sun Piaoyang,China,57,3.4,Pharmaceuticals
477,Jeff Sutton,United States,56,3.4,Real Estate
477,Russ Weiner,United States,45,3.4,Energy Drinks
495,Marc Benioff,United States,51,3.3,Business Software
495,Nathan Blecharczyk,United States,32,3.3,Airbnb
495,Bubba Cathy,United States,61,3.3,Chick-Fil-A
495,Dan Cathy,United States,63,3.3,Chick-Fil-A
495,David Cheriton,Canada,64,3.3,Google
495,Brian Chesky,United States,34,3.3,Airbnb
495,"Edward DeBartolo, Jr.",United States,69,3.3,Shopping Centers
495,John Gandel,Australia,81,3.3,Shopping Malls
495,Rosa Anna Magno Garavoglia,Italy,n/a,3.3,Spirits
495,Joe Gebbia,United States,34,3.3,Airbnb
495,Tom Gores,United States,51,3.3,Private Equity
495,Jeff Greene,United States,61,3.3,"Real Estate, Investments"
495,Jiang Bin,China,49,3.3,Acoustic Components
495,H. Fisk Johnson,United States,57,3.3,Cleaning Products
495,Imogene Powers Johnson,United States,86,3.3,Cleaning Products
495,S. Curtis Johnson,United States,60,3.3,Cleaning Products
495,Helen Johnson-Leipold,United States,59,3.3,Cleaning Products
495,Winnie Johnson-Marquart,United States,56,3.3,Cleaning Products
495,Erich Kellerhals,Germany,77,3.3,Electronics Retailer
495,Ma Jianrong,China,52,3.3,"Textiles, Apparel"
495,Bernard Marcus,United States,86,3.3,Home Depot
495,Clayton Mathile,United States,75,3.3,Pet Food
495,Robert McNair,United States,79,3.3,"Energy, Sports"
495,Alain Merieux,France,78,3.3,Pharmaceuticals
495,Jorge Perez,United States,66,3.3,Condos
495,Qi Shi,China,46,3.3,Financial Information
495,Teddy Sagi,Israel,44,3.3,Gambling Software
495,Joan Tisch,United States,90,3.3,Diversified
495,Martin Viessmann,Germany,62,3.3,Heating Equipment
495,Andreas von Bechtolsheim,Germany,60,3.3,Google
495,Zhang Guiping,China,64,3.3,Real Estate
495,Zhu Gongshan,China,58,3.3,Solar Panel Materials
527,"Austen Cargill, II.",United States,65,3.2,Cargill
527,"James Cargill, II.",United States,66,3.2,Cargill
527,Leon G. Cooperman,United States,72,3.2,Hedge Funds
527,Mark Cuban,United States,57,3.2,Online Media
527,Bernard Ecclestone,United Kingdom,85,3.2,Formula One
527,Zarakh Iliev,Russia,49,3.2,Real Estate
527,Bachtiar Karim,Indonesia,59,3.2,Manufacturing
527,Daryl Katz,Canada,54,3.2,Pharmacies
527,Li Hejun,China,48,3.2,Renewable Energy
527,Marianne Liebmann,United States,62,3.2,Cargill
527,God Nisanov,Russia,43,3.2,Real Estate
527,Kevin Plank,United States,43,3.2,Under Armour
527,Anthony Pritzker,United States,55,3.2,"Hotels, Investments"
527,Jay Robert (J.B.) Pritzker,United States,51,3.2,"Hotels, Investments"
527,Renzo Rosso,Italy,60,3.2,Fashion Retail
527,Hussain Sajwani,United Arab Emirates,63,3.2,Real Estate
527,Thomas Schmidheiny,Switzerland,70,3.2,Cement
527,Shaul Shani,Israel,61,3.2,Telecom
527,Andreas Struengmann,Germany,66,3.2,Pharmaceuticals
527,Thomas Struengmann,Germany,66,3.2,Pharmaceuticals
527,Wu Yajun,China,52,3.2,Real Estate
527,Yang Kai,China,59,3.2,Dairy Products
549,Abdulla Al Futtaim,United Arab Emirates,n/a,3.1,"Auto Dealers, Investments"
549,Kapil & Rahul Bhatia,India,n/a,3.1,Airlines
549,Pollyanna Chu,Hong Kong,57,3.1,Financial Services
549,Ken Fisher,United States,65,3.1,Money Management
549,Jaime Gilinski Bacal,Colombia,58,3.1,Banking
549,Andreas Halvorsen,Norway,54,3.1,Hedge Funds
549,Indu Jain,India,79,3.1,Media
549,Samvel Karapetyan,Russia,50,3.1,Development
549,Barry Lam,Taiwan,66,3.1,Computers
549,Lars Larsen,Denmark,67,3.1,Retail
549,Samuel Tak Lee,Hong Kong,76,3.1,Real Estate
549,John Overdeck,United States,46,3.1,Hedge Funds
549,Issad Rebrab,Algeria,72,3.1,Food
549,J. Christopher Reyes,United States,62,3.1,Food Distribution
549,Jude Reyes,United States,60,3.1,Food Distribution
549,David Siegel,United States,54,3.1,Hedge Funds
549,Frederick Smith,United States,71,3.1,Fedex
549,Donald Sterling,United States,80,3.1,Real Estate
549,Juan-Miguel Villar Mir,Spain,84,3.1,Construction
549,Roger Wang,United States,67,3.1,Retail
569,Stephen Bisciotti,United States,55,3,"Outsourcing, Football"
569,Chey Tae-Won,South Korea,55,3,Computer Services/Telecoms
569,Chung Eui-Sun,South Korea,45,3,Logistics
569,David Consunji,Philippines,94,3,Construction
569,Jack Dangermond,United States,70,3,Mapping Software
569,Rafael Del Pino y Calvo-Sotelo,Spain,57,3,Construction
569,Dagmar Dolby,United States,74,3,Dolby Laboratories
569,Bennett Dorrance,United States,70,3,Campbell Soup
569,Isabel dos Santos,Angola,42,3,Investments
569,Tilman Fertitta,United States,58,3,"Restaurants, Casinos"
569,Bernard Fraisse,France,59,3,Pharmaceuticals
569,"Amos Hostetter, Jr.",United States,79,3,Cable Television
569,Liu Yiqian,China,52,3,Investments
569,Luo Jye,Taiwan,90,3,Tires
569,Sudhir & Samir Mehta,India,n/a,3,Diversified
569,Jorge Moll Filho,Brazil,71,3,Hospitals
569,Erwin Franz Mueller,Germany,83,3,Drug Stores
569,Michael Platt,United Kingdom,47,3,Hedge Funds
569,"David Rockefeller, Sr.",United States,100,3,"Oil, Banking"
569,Chanchai Ruayrungruang,China,62,3,Real Estate
569,Naguib Sawiris,Egypt,61,3,Telecom
569,Stephan Schmidheiny,Switzerland,68,3,Investments
569,Andrew Tan,Philippines,63,3,Diversified
569,Tony Tan Caktiong,Philippines,63,3,Fast Food
569,Oprah Winfrey,United States,62,3,TV Shows
569,Ye Chenghai,Hong Kong,72,3,Pharmaceuticals
595,Kunio Busujima,Japan,90,2.9,Pachinko Machines
595,John Paul DeJoria,United States,72,2.9,"Hair Products, Tequila"
595,Lindsay Fox,Australia,78,2.9,Logistics/Real Estate
595,Peter Hargreaves,United Kingdom,69,2.9,Financial Services
595,Erivan Haub,Germany,83,2.9,Retail
595,Huang Rulun,China,64,2.9,Real Estate
595,Dmitry Kamenshchik,Russia,47,2.9,Airport
595,Guenther Lehmann,Germany,n/a,2.9,Drug Stores
595,Lu Xiangyang,China,53,2.9,"Automobiles, Batteries"
595,Alexander Nesis,Russia,53,2.9,"Metals, Banking, Fertilizers"
595,Ravi Pillai,India,62,2.9,Construction
595,"Wilbur Ross, Jr.",United States,78,2.9,Investments
595,Dirk Rossmann,Germany,69,2.9,Drugstore Chain
595,Howard Schultz,United States,62,2.9,Starbucks
595,Alexander Svetakov,Russia,48,2.9,"Banking, Real Estate"
595,Murat Ulker,Turkey,56,2.9,Food Manufacturing
595,Simon Xie,China,46,2.9,Online Payment Service
612,Robert Bass,United States,68,2.8,"Oil, Investments"
612,Carlo Benetton,Italy,72,2.8,"Clothing, Investments"
612,Gilberto Benetton,Italy,74,2.8,"Clothing, Investments"
612,Giuliana Benetton,Italy,78,2.8,"Clothing, Investments"
612,Luciano Benetton,Italy,80,2.8,"Clothing, Investments"
612,Otto Philipp Braun,Germany,38,2.8,Medical Technology
612,Otto Happel,Germany,68,2.8,Engineering
612,Daniela Herz,Germany,62,2.8,Coffee
612,Guenter Herz & Family,Germany,75,2.8,Coffee
612,Peter Kellogg,United States,73,2.8,Investments
612,Heikki Kyostila,Finland,70,2.8,Dental Products
612,Lee Jay-Hyun,South Korea,55,2.8,Food Products/Entertainment
612,Yuri Milner,Russia,54,2.8,"Facebook, Investments"
612,Fernando Roberto Moreira Salles,Brazil,69,2.8,"Banking, Minerals"
612,Joao Moreira Salles,Brazil,54,2.8,"Banking, Minerals"
612,Pedro Moreira Salles,Brazil,56,2.8,"Banking, Minerals"
612,Walther Moreira Salles Junior,Brazil,59,2.8,"Banking, Minerals"
612,Prasert Prasarttong-Osoth,Thailand,82,2.8,Hospitals
612,"Bernard Saul, II.",United States,83,2.8,"Banking, Real Estate"
612,Alexandra Schorghuber,Germany,57,2.8,Real Estate
612,Herbert Simon,United States,81,2.8,Real Estate
612,Kushal Pal Singh,India,84,2.8,Real Estate
612,Vichai Srivaddhanaprabha,Thailand,58,2.8,Duty-Free
612,Hans Strothoff,Germany,65,2.8,"Kitchen, Plumbing Retailer"
612,Romesh T. Wadhwani,United States,68,2.8,Software
612,Xue Xiangdong,China,57,2.8,Software
638,Riley Bechtel,United States,63,2.7,"Engineering, Construction"
638,"Stephen Bechtel, Jr.",United States,90,2.7,"Engineering, Construction"
638,Jean-Michel Besnier,France,48,2.7,Cheese
638,Marie Besnier Beauvalot,France,35,2.7,Cheese
638,Alain Bouchard,Canada,67,2.7,Retail
638,Cai Dongqing,China,46,2.7,Animation
638,Jean Pierre Cayard,France,73,2.7,Spirits
638,Richard Chandler,New Zealand,57,2.7,Investments
638,Chen Fashu,China,55,2.7,Investments
638,Andrew & Peggy Cherng,United States,n/a,2.7,Restaurants
638,Silas Chou,Hong Kong,69,2.7,Apparel
638,"John Dorrance, III.",Ireland,72,2.7,Campbell Soup
638,Robert Duggan,United States,71,2.7,Pharmaceuticals
638,Hortensia Herrero,Spain,65,2.7,Supermarkets
638,Heidi Horten,Austria,75,2.7,Retail
638,Kwek Leng Beng,Singapore,75,2.7,Real Estate
638,Kenneth Langone,United States,80,2.7,Investments
638,James Leprino,United States,78,2.7,Cheese
638,Sergio Mantegazza,Switzerland,88,2.7,Travel
638,John Middleton,United States,61,2.7,Tobacco
638,Robert Miller,Canada,70,2.7,Electronics Components
638,David Murdock,United States,92,2.7,"Dole, Real Estate"
638,Thomas Pritzker,United States,65,2.7,"Hotels, Investments"
638,Peter Thiel,United States,48,2.7,"Facebook, Palantir"
638,Yitzhak Tshuva,Israel,67,2.7,Real Estate
638,Wang Yusuo,China,51,2.7,Natural Gas Distribution
638,John Whittaker,United Kingdom,73,2.7,Real Estate
638,Yeung Kin-man,Hong Kong,n/a,2.7,Electronics
666,Yvonne Bauer,Germany,38,2.6,Media
666,Arthur Blank,United States,73,2.6,Home Depot
666,Antonio Del Valle Ruiz,Mexico,77,2.6,Chemicals
666,Walter Faria,Brazil,60,2.6,Beer
666,Doris Fisher,United States,84,2.6,Gap
666,H. Wayne Huizenga,United States,78,2.6,Investments
666,Ke Zunhong,China,61,2.6,Pharmaceuticals
666,Lam Wai Ying,Hong Kong,n/a,2.6,Electronics
666,Li Shuirong,China,59,2.6,Petrochemicals
666,Liu Zhongtian,China,52,2.6,Aluminum Products
666,Daniel Loeb,United States,54,2.6,Hedge Funds
666,Ronald McAulay,Hong Kong,80,2.6,Energy
666,Michael Moritz,United States,61,2.6,Venture Capital
666,"Carolus Nolet, Sr.",Netherlands,75,2.6,Ketel One Vodka
666,Daniel Och,United States,55,2.6,Hedge Funds
666,Husnu Ozyegin,Turkey,71,2.6,"Finance, Diversified"
666,A. Jerrold Perenchio,United States,85,2.6,"Television, Univision"
666,Krit Ratanarak,Thailand,69,2.6,"Media, Real Estate"
666,Henry Samueli,United States,61,2.6,Semiconductors
666,Hanni Toosbuy Kasprzak,Denmark,58,2.6,Shoes
666,Samuel Yin,Taiwan,65,2.6,Diversified
666,Zhang Xin,China,50,2.6,Real Estate
688,Anil Ambani,India,56,2.5,Diversified
688,John Arnold,United States,41,2.5,Hedge Funds
688,Andrej Babis,Czechia,61,2.5,Agriculture
688,David Bonderman,United States,73,2.5,Private Equity
688,Jose Luis Cutrale,Brazil,69,2.5,Orange Juice
688,Bharat & Neerja Sethi Desai,United States,63,2.5,It Consulting
688,Kuldip Singh & Gurbachan Singh Dhingra,India,n/a,2.5,Paints
688,Philippe Foriel-Destezet,France,80,2.5,Employment Agency
688,Tom Golisano,United States,74,2.5,Payroll Services
688,Henry Hillman,United States,97,2.5,Investments
688,Johan Johannson,Norway,49,2.5,Grocery Stores
688,Viatcheslav Kantor,Russia,62,2.5,"Fertilizer, Real Estate"
688,Louis Le Duff,France,69,2.5,Bakeries
688,Li Zhongchu,China,52,2.5,Software
688,"Stephen Mandel, Jr.",United States,59,2.5,Hedge Funds
688,Mohamed Mansour,Egypt,68,2.5,Diversified
688,Najib Mikati,Lebanon,60,2.5,Telecom
688,Taha Mikati,Lebanon,71,2.5,Telecom
688,Michael Milken,United States,69,2.5,Investments
688,Yoshiko Mori,Japan,75,2.5,Real Estate
688,Philip Niarchos,Greece,62,2.5,Art Collection
688,Sebastian Pinera,Chile,66,2.5,Investments
688,P.V. Ramprasad Reddy,India,57,2.5,Pharmaceuticals
688,Gary Rollins,United States,71,2.5,Pest Control
688,Randall Rollins,United States,84,2.5,Pest Control
688,Dieter Schnabel,Germany,70,2.5,Chemicals
688,Robert Smith,United States,53,2.5,Private Equity
688,Zygmunt Solorz-Zak,Poland,59,2.5,TV Broadcasting
688,Wang Xing,China,43,2.5,E-Commerce
688,"William Wrigley, Jr.",United States,52,2.5,Chewing Gum
688,Yu Yong,China,55,2.5,Mining Investments
688,Eddie & Sol Zakay,United Kingdom,65,2.5,Real Estate
688,Christoph Zeller,Liechtenstein,58,2.5,Dental Implants
688,Mortimer Zuckerman,United States,78,2.5,"Real Estate, Media"
722,Rahul Bajaj,India,77,2.4,Motorcycles
722,George Bishop,United States,79,2.4,Oil & Gas
722,Jim Breyer,United States,54,2.4,Venture Capital
722,Bernardo Caprotti,Italy,90,2.4,Grocery Stores
722,Tatiana Casiraghi,Monaco,32,2.4,Beer
722,John Caudwell,United Kingdom,63,2.4,Mobile Phones
722,Jason Chang,Singapore,71,2.4,Electronics
722,"Chase Coleman, III.",United States,40,2.4,Hedge Fund
722,Judy Faulkner,United States,72,2.4,Health It
722,Bernd Freier,Germany,59,2.4,Retail
722,Reid Hoffman,United States,48,2.4,Linkedin
722,Huang Shih Tsai,Hong Kong,64,2.4,Real Estate
722,Igor Kesaev,Russia,49,2.4,"Tobacco Distribution, Retail"
722,Andrei Kozitsyn,Russia,55,2.4,Metals
722,Raj Kumar & Kishin RK,Singapore,61,2.4,Real Estate
722,Marc Ladreit de Lacharriere,France,75,2.4,Finance
722,Manuel Lao Hernandez,Spain,71,2.4,Gambling
722,Patrick Lee,Hong Kong,73,2.4,Paper
722,Douglas Leone,United States,58,2.4,Venture Capital
722,Lin Xiucheng,China,60,2.4,Electronics
722,George Lindemann,United States,79,2.4,Investments
722,Friedhelm Loh,Germany,69,2.4,Manufacturing
722,Alexander Mamut,Russia,56,2.4,Investments
722,Hans Melchers,Netherlands,77,2.4,"Chemicals, Investments"
722,C. Dean Metropoulos,United States,69,2.4,Investments
722,Tom Morris,United Kingdom,61,2.4,Retail
722,Stefan Olsson,Sweden,67,2.4,Diversified
722,Sean Parker,United States,36,2.4,Facebook
722,Karl-Johan Persson,Sweden,40,2.4,H&M
722,Tom Persson,Sweden,31,2.4,H&M
722,"Enrique Razon, Jr.",Philippines,55,2.4,Ports
722,Phillip Ruffin,United States,80,2.4,"Casinos, Real Estate"
722,Ferit Faik Sahenk,Turkey,51,2.4,"Banking, Media"
722,"Julio Mario Santo Domingo, III.",United States,30,2.4,Beer
722,Michael & Reiner Schmidt-Ruthenbeck,Germany,n/a,2.4,Retail
722,Richard Schulze,United States,75,2.4,Best Buy
722,Charlotte Soderstrom,Sweden,39,2.4,H&M
722,"Clemmie Spangler, Jr.",United States,83,2.4,Investments
722,Warren Stephens,United States,59,2.4,Investment Banking
722,Lawrence Stroll,Canada,56,2.4,Retail
722,Daniel Tsai,Taiwan,59,2.4,Finance
722,Richard Tsai,Taiwan,58,2.4,Finance
722,Wang Changtian,China,50,2.4,"TV, Movie Production"
722,Ty Warner,United States,71,2.4,"Real Estate, Plush Toys"
722,Dean White,United States,92,2.4,"Billboards, Hotels"
722,Steve Wynn,United States,74,2.4,"Casinos, Hotels"
722,Vladimir Yevtushenkov,Russia,67,2.4,Telecom
722,Michael Ying,Hong Kong,66,2.4,Retail
722,Zheng Yuewen,China,54,2.4,Investments
771,Rinat Akhmetov,Ukraine,49,2.3,"Steel, Coal"
771,Mohammed Al Issa,Saudi Arabia,91,2.3,Investments
771,Anthony Bamford,United Kingdom,70,2.3,Construction Equipment
771,Carl Bennet,Sweden,64,2.3,Investments
771,Patrizio Bertelli,Italy,70,2.3,Luxury Goods
771,Charles Bronfman,Canada,84,2.3,Liquor
771,Eva Maria Bucher-Haefner,Switzerland,59,2.3,Computer Associates
771,"William Conway, Jr.",United States,66,2.3,Private Equity
771,Daniel D'Aniello,United States,69,2.3,Private Equity
771,Edgar de Picciotto,Switzerland,86,2.3,Private Banking
771,Barry Diller,United States,74,2.3,Online Media
771,Fong Yun Wah,Hong Kong,91,2.3,Real Estate
771,Don Hankey,United States,72,2.3,Auto Loans
771,Jimmy Haslam,United States,62,2.3,"Gas Stations, Retail"
771,Huang Wei,China,56,2.3,Diversified
771,James Irsay,United States,56,2.3,Indianapolis Colts
771,Kim Jung-Ju,South Korea,48,2.3,Online Games
771,Kurt Krieger,Germany,67,2.3,Furniture Retailing
771,Herman Langness,Germany,n/a,2.3,Food Wholesale And Retail
771,Mangal Prabhat Lodha,India,60,2.3,Real Estate
771,Bernardo Matte,Chile,60,2.3,Paper
771,Eliodoro Matte,Chile,70,2.3,Paper
771,Patricia Matte,Chile,72,2.3,Paper
771,Vadim Moshkovich,Russia,48,2.3,"Agriculture, Land"
771,Alexander Ponomarenko,Russia,51,2.3,Ports
771,Miuccia Prada,Italy,66,2.3,Prada
771,John Pritzker,United States,63,2.3,"Hotels, Investments"
771,Penny Pritzker,United States,56,2.3,"Hotels, Investments"
771,Michael Rubin,United States,43,2.3,Online Retailing
771,Patrick Ryan,United States,78,2.3,Insurance
771,Alexander Skorobogatko,Russia,48,2.3,Ports
771,Helmut Sohmen,Austria,76,2.3,Shipping
771,Song Zuowen,China,68,2.3,"Aluminum, Diversified"
771,Pat Stryker,United States,59,2.3,Medical Equipment
771,Tang Yiu,Hong Kong,81,2.3,Retailing
771,Tse Ping,China,64,2.3,Pharmaceuticals
771,Bulat Utemuratov,Kazakhstan,58,2.3,"Mining, Banking, Hotels"
771,Yeoh Tiong Lay,Malaysia,86,2.3,"Construction, Real Estate"
771,Zhou Yahui,China,39,2.3,Online Games
810,Saif Al Ghurair,United Arab Emirates,92,2.2,Diversified
810,John Arrillaga,United States,78,2.2,Real Estate
810,Semahat Sevim Arsel,Turkey,87,2.2,Diversified
810,Tom Benson,United States,88,2.2,New Orleans Saints
810,Jurgen Blickle,Germany,69,2.2,Auto Parts
810,Hubert Burda,Germany,76,2.2,Publishing
810,Smita Crishna-Godrej,India,65,2.2,Diversified
810,Ashwin Dani,India,73,2.2,Paints
810,Eduardo Eurnekian,Argentina,83,2.2,"Airports, Investments"
810,John Fisher,United States,54,2.2,Gap
810,Fu Liquan,China,48,2.2,Surveillance Equipment
810,Adi Godrej,India,73,2.2,Consumer Goods
810,Jamshyd Godrej,India,67,2.2,Consumer Goods
810,Nadir Godrej,India,65,2.2,Diversified
810,Noam Gottesman,United States,54,2.2,Hedge Funds
810,Martin Haefner,Switzerland,62,2.2,"Software, Investments"
810,Caroline Hagen Kjos,Norway,32,2.2,Orkla
810,Bahaa Hariri,Lebanon,49,2.2,"Real Estate, Investments, Logistics"
810,Joshua Harris,United States,51,2.2,Private Equity
810,B. Wayne Hughes,United States,82,2.2,Self Storage
810,Min Kao,United States,67,2.2,Navigation Equipment
810,Brad Kelley,United States,59,2.2,Tobacco
810,Alicia Koplowitz,Spain,61,2.2,"Construction, Investments"
810,Kuok Khoon Hong,Singapore,66,2.2,Palm Oil
810,Edward Lampert,United States,53,2.2,Sears
810,Lee Joong-Keun,South Korea,75,2.2,Construction
810,Lim Sung-Ki,South Korea,76,2.2,Pharma
810,Kalanithi Maran,India,50,2.2,Media
810,Robert Miller,United Kingdom,82,2.2,Retail
810,Shigenobu Nagamori,Japan,71,2.2,Motors
810,Rishad Naoroji,India,64,2.2,Consumer Goods
810,Gabe Newell,United States,53,2.2,Videogames
810,Jay Paul,United States,68,2.2,Real Estate
810,Richard Peery,United States,77,2.2,Real Estate
810,Marc Rowan,United States,54,2.2,Private Equity
810,David Rubenstein,United States,66,2.2,Private Equity
810,Alvaro Saieh Bendeck,Chile,66,2.2,Banking
810,Shen Guojun,China,53,2.2,Retail
810,Gil Shwed,Israel,48,2.2,Software
810,Thomas Siebel,United States,63,2.2,Business Software
810,Paul Singer,United States,71,2.2,Hedge Funds
810,Ted Turner,United States,77,2.2,Cable Television
810,Mark Walter,United States,55,2.2,Finance
810,Xiao Wenge,China,49,2.2,Entertainment
854,S. Daniel Abraham,United States,91,2.1,Slim-Fast
854,Emilio Azcarraga Jean,Mexico,48,2.1,TV Broadcasting
854,John Brown,United States,81,2.1,Medical Equipment
854,Chen Bang,China,50,2.1,Hospitals
854,Jaran Chiaravanont,Thailand,85,2.1,Diversified
854,James Coulter,United States,56,2.1,Private Equity
854,Oleg Deripaska,Russia,48,2.1,"Aluminum, Utilities"
854,Francisco Ivens de Sa Dias Branco,Brazil,81,2.1,Food Production
854,Bergit Douglas,Germany,69,2.1,Consumer Goods
854,Charles Dunstone,United Kingdom,52,2.1,Mobile Phones
854,Feng Hailiang,China,55,2.1,"Copper, Real Estate"
854,David Filo,United States,49,2.1,Yahoo
854,Gordon Getty,United States,82,2.1,Getty Oil
854,Ivan Glasenberg,Switzerland,59,2.1,Mining
854,Alec Gores,United States,62,2.1,Private Equity
854,Stein Erik Hagen,Norway,59,2.1,Retail
854,Carlos Hank Rhon,Mexico,68,2.1,Banking
854,John Henry,United States,66,2.1,Sports
854,Stanley Hubbard,United States,82,2.1,Direct TV
854,Johnelle Hunt,United States,84,2.1,Trucking
854,Ji Changqun,China,48,2.1,Real Estate
854,Jiang Weiping,China,61,2.1,Chemicals
854,Sumet Jiaravanon,Thailand,81,2.1,Diversified
854,Montri Jiaravanont,Thailand,84,2.1,Diversified
854,Aerin Lauder Zinterhofer,United States,46,2.1,Cosmetics
854,Martisa Lazari,United Kingdom,71,2.1,Real Estate
854,Peter Lim,Singapore,62,2.1,Investments
854,Igor Makarov,Russia,53,2.1,Gas
854,Joe Mansueto,United States,59,2.1,Investment Research
854,Hans Georg Naeder,Germany,54,2.1,Prosthetics
854,Maja Oeri,Switzerland,61,2.1,Roche Holding
854,Alfred Oetker,Germany,49,2.1,Consumer Goods
854,August Oetker,Germany,71,2.1,Consumer Goods
854,Carl Ferdinand Oetker,Germany,43,2.1,Consumer Goods
854,Christian Oetker,Germany,67,2.1,Consumer Goods
854,Julia Oetker,Germany,37,2.1,Consumer Goods
854,Richard Oetker,Germany,65,2.1,Consumer Goods
854,Park Hyeon-Joo,South Korea,57,2.1,Mutual Funds
854,Jean (Gigi) Pritzker,United States,54,2.1,"Hotels, Investments"
854,Nicolas Puech,France,73,2.1,Hermes
854,Mochtar Riady,Indonesia,86,2.1,Diversified
854,Rosely Schweizer,Germany,75,2.1,Consumer Goods
854,Vivek Chaand Sehgal,Australia,59,2.1,Auto Parts
854,Erik Selin,Sweden,48,2.1,Balder
854,Scott Simplot,United States,69,2.1,Fertilizer
854,Dan Snyder,United States,51,2.1,Washington Redskins
854,Alexandre Soares dos Santos,Portugal,81,2.1,Retail
854,Evan Spiegel,United States,25,2.1,Snap chat
854,Sze Man Bok,China,66,2.1,Hygiene Products
854,David Teoh,Australia,59,2.1,Telecommunications
854,Arne Wilhelmsen,Norway,85,2.1,Cruise Ships
854,Chip Wilson,Canada,59,2.1,Lululemon
906,Juan Abello,Spain,74,2,Investments
906,William Ackman,United States,49,2,Hedge Funds
906,Faisal Bin Qassim Al Thani,Qatar,68,2,"Hotels, Diversified"
906,Emanuella Barilla,Italy,49,2,Barilla Pasta
906,Guido Barilla,Italy,57,2,Barilla Pasta
906,Luca Barilla,Italy,56,2,Barilla Pasta
906,Paolo Barilla,Italy,54,2,Barilla Pasta
906,Ron Baron,United States,72,2,Money Management
906,Rainer Blickle,Germany,68,2,Auto Parts
906,Cai Kui,China,53,2,Real Estate
906,Jose and Francisco Jose Calderon Rojas,Mexico,n/a,2,Beverages
906,Gustavo Cisneros,Venezuela,70,2,Media
906,James Dinan,United States,56,2,Hedge Funds
906,Murali Divi,India,64,2,Pharmaceuticals
906,Ennio Doris,Italy,75,2,Financial Services
906,Glenn Dubin,United States,58,2,Hedge Funds
906,Miguel Fluxa Rossello,Spain,77,2,Hotels
906,Gerald Ford,United States,71,2,Banking
906,James France,United States,71,2,"Nascar, Racing"
906,Bill Gross,United States,71,2,Investments
906,Huang Wenji,China,47,2,Umbrellas
906,Hui Lin Chit,China,62,2,Hygiene Products
906,Erman Ilicak,Turkey,48,2,Construction
906,John Kapoor,United States,72,2,Healthcare
906,Mustafa Rahmi Koc,Turkey,85,2,Diversified
906,Mustafa Kucuk,Turkey,52,2,Fashion And Retail
906,Timur Kulibaev,Kazakhstan,49,2,Banking
906,Dinara Kulibaeva,Kazakhstan,48,2,Banking
906,Spiro Latsis,Greece,69,2,"Banking, Shipping"
906,Thomas Lee,United States,71,2,Leveraged Buyouts
906,Vincent Lo,Hong Kong,66,2,Real Estate
906,"Henry Nicholas, III.",United States,56,2,Semiconductors
906,Akio Nitori,Japan,72,2,Retail
906,Bob Parsons,United States,65,2,Web Hosting
906,Robert Pera,United States,37,2,Wireless Networking Gear
906,Daniel Pritzker,United States,57,2,"Hotels, Investments"
906,Chandru Raheja,India,75,2,Real Estate
906,Stewart Rahr,United States,70,2,Drug Distribution
906,Larry Robbins,United States,46,2,Hedge Funds
906,Thomas Secunda,United States,61,2,Bloomberg LP
906,Yasumitsu Shigeta,Japan,51,2,Mobile Telecom
906,Sit Kwong Lam,Hong Kong,48,2,"Oil, Transportation"
906,Tahir,Indonesia,63,2,Diversified
906,Sarik Tara,Turkey,85,2,Construction
906,Clemens Toennies,Germany,59,2,Meat Processing
906,T.Y. Tsai,Taiwan,n/a,2,Finance
906,Peter Unger,Germany,71,2,Auto Repair
906,Sunil Vaswani,United Kingdom,52,2,Diversified
906,Georg von Opel,Germany,49,2,Real Estate/Investments
906,David Walentas,United States,77,2,Real Estate
906,Wu Guangming,China,54,2,Medical Equipment
906,Yan Zhi,China,43,2,Real Estate
906,Yi Zheng,China,45,2,Software
959,Mohamed Al Fayed,Egypt,87,1.9,"Retail, Investments"
959,Louis Bacon,United States,57,1.9,Hedge Funds
959,Othman Benjelloun,Morocco,83,1.9,"Banking, Insurance"
959,Rossana Camargo de Arruda Botelho,Brazil,66,1.9,Construction
959,Pierre Chen,Taiwan,58,1.9,"Art, Electronics"
959,John Coates,United Kingdom,46,1.9,Online Gambling
959,Scott Cook,United States,63,1.9,Software
959,Edson de Godoy Bueno,Brazil,72,1.9,"Hospitals, Health Care"
959,Dermot Desmond,Ireland,65,1.9,Finance
959,Du Jiangtao,China,46,1.9,Chemicals
959,Aloysio de Andrade Faria,Brazil,95,1.9,Banking
959,Carlo Fidani,Canada,61,1.9,Real Estate
959,Rakesh Gangwal,United States,63,1.9,Airlines
959,Fiona Geminder,Australia,51,1.9,Packaging
959,Joseph Grendys,United States,54,1.9,Meat Processing
959,David Hains,Australia,85,1.9,Finance
959,Huang Qiaoling,China,57,1.9,Amusement Parks
959,Manuel Jove,Spain,74,1.9,Real Estate
959,Baba Kalyani,India,67,1.9,Engineering
959,Saleh Kamel,Saudi Arabia,74,1.9,"Banking, Healthcare"
959,Bruce Karsh,United States,60,1.9,Private Equity
959,King Pak Fu,Hong Kong,46,1.9,Real Estate
959,William Koch,United States,75,1.9,"Oil, Investments"
959,Stephen Lansdown,Guernsey,63,1.9,Financial Services
959,Lee Boo-Jin,South Korea,45,1.9,Computer Services/Tourism
959,Lee Man Tat,Hong Kong,86,1.9,Food
959,Liang Xinjun,China,48,1.9,Conglomerate
